Type,Trans Date,Post Date,Description,Amount
SALE,03/17/2016,03/18/2016,"ULTRAMOBILE/UNIVISION",-32.39
SALE,02/09/2016,02/10/2016,"WALGREENS #12292",-49.78
SALE,02/20/2016,02/22/2016,"SWADESHI PLAZA PLANO",-28.23
SALE,02/11/2016,02/12/2016,"CHIPOTLE 1734",-7.04
SALE,04/10/2016,04/13/2016,"HEENA SALON",-80.00
SALE,03/16/2016,03/18/2016,"MCDONALD'S M7190 OF TX",-3.45
SALE,05/02/2016,05/03/2016,"SUBWAY JCPENNEY",-12.29
SALE,05/05/2016,05/08/2016,"SPICE BAZAAR",-10.31
SALE,04/26/2016,04/28/2016,"SPICE BAZAAR",-5.94
SALE,04/25/2016,04/26/2016,"TENTKOTTA.COM",-8.65
SALE,04/09/2016,04/10/2016,"SILK ROAD",-15.00
SALE,05/28/2016,05/29/2016,"NTTA AUTOCHARGE",-40.00
SALE,04/10/2016,04/12/2016,"ROSS STORES #386",-74.64
SALE,03/17/2016,03/18/2016,"SQ *SPICERACK",-43.96
SALE,03/15/2016,03/15/2016,"BASERA INDIAN CUISINE",-13.00
SALE,05/14/2016,05/15/2016,"HYDERABAD HOUSE PLANO",-23.80
SALE,03/01/2016,03/03/2016,"MCDONALD'S M7190 OF TX",-3.78
SALE,05/04/2016,05/05/2016,"JCP STARBUCKS",-7.04
SALE,05/25/2016,05/26/2016,"JCP STARBUCKS",-7.04
SALE,03/30/2016,03/31/2016,"JCP STARBUCKS",-3.52
SALE,04/25/2016,04/26/2016,"BAWARCHI BIRYANI POINT",-24.88
SALE,04/12/2016,04/13/2016,"AAA TX INSURANCE - R",-115.32
SALE,05/09/2016,05/11/2016,"THE HOME DEPOT 527",-32.84
SALE,05/01/2016,05/02/2016,"WM SUPERCENTER #2883",-57.56
SALE,03/18/2016,03/20/2016,"WM SUPERCENTER #2883",-3.86
SALE,03/08/2016,03/09/2016,"VICEROY INDIAN RESTAURANT",-26.00
SALE,03/05/2016,03/06/2016,"BAWARCHI BIRYANI POINT",-26.34
SALE,02/14/2016,02/15/2016,"SARAVANAA BHAVAN PLANO",-25.15
SALE,05/27/2016,05/29/2016,"FSI*COSERV",-52.00
SALE,05/13/2016,05/15/2016,"Netflix.com",-9.73
SALE,02/27/2016,03/01/2016,"SPICE BAZAAR",-13.51
SALE,02/17/2016,02/19/2016,"THAI NOODLE WAVE",-24.00
SALE,04/13/2016,04/14/2016,"Netflix.com",-9.73
SALE,05/27/2016,05/29/2016,"PHO QUE HUONG",-9.00
SALE,04/04/2016,04/06/2016,"QATAR AIR IB1572354972803",-252.16
SALE,03/16/2016,03/17/2016,"SARAVANAA BHAVAN PLANO",-19.00
PAYMENT,03/08/2016,03/08/2016,"Payment Thank You-Mobile",3120.00
SALE,04/30/2016,05/01/2016,"NTTA AUTOCHARGE",-40.00
SALE,04/05/2016,04/06/2016,"HYDERABAD HOUSE PLANO",-27.96
SALE,02/26/2016,02/28/2016,"MCDONALD'S F33140",-2.48
SALE,04/24/2016,04/25/2016,"SQ *AIRPORTEXPRESSC",-144.00
