Type,Trans Date,Post Date,Description,Amount
Sale,05/18/2016,05/19/2016,"NTTA AUTOCHARGE",-40.00
Sale,05/17/2016,05/18/2016,"FRONTIER UTILITIES",-94.51
Sale,05/16/2016,05/17/2016,"RMLA  STONEBRIAR",-9.00
Sale,05/16/2016,05/17/2016,"JCP STARBUCKS",-7.04
Sale,05/16/2016,05/17/2016,"AUNTIE ANNE'S TX134",-3.89
Sale,05/14/2016,05/15/2016,"HYDERABAD HOUSE PLANO",-23.80
Sale,05/13/2016,05/15/2016,"DUNKIN #345827     Q35",-8.99
Sale,05/13/2016,05/15/2016,"Netflix.com",-9.73
Sale,05/13/2016,05/13/2016,"BHEEMAS KITCHEN",-17.00
Sale,05/13/2016,05/17/2016,"SANABELS",-15.00
Sale,05/12/2016,05/15/2016,"EXXONMOBIL    48164016",-33.68
Payment,05/12/2016,05/12/2016,"Payment Thank You-Mobile",1139.52
Sale,05/11/2016,05/11/2016,"OVI LAWN SERVICE",-285.00
Sale,05/10/2016,05/11/2016,"AAA TX INSURANCE - R",-115.32
Sale,05/10/2016,05/12/2016,"SPICE BAZAAR",-10.63
Sale,05/09/2016,05/11/2016,"THE HOME DEPOT 527",-32.84
Sale,05/09/2016,05/10/2016,"PIZZA HUT 27706",-12.99
Sale,05/07/2016,05/08/2016,"HYDERABAD HOUSE PLANO",-26.00
Sale,05/07/2016,05/08/2016,"METRO GUARD TERMITE &",-59.47
Sale,05/06/2016,05/09/2016,"LOVING HUT",-12.39
Sale,05/06/2016,05/08/2016,"BLUE MESA GRILL",-13.00
Sale,05/06/2016,05/08/2016,"MCDONALD'S F33140",-8.63
Sale,05/05/2016,05/08/2016,"SPICE BAZAAR",-10.31
Sale,05/05/2016,05/06/2016,"Amazon.com",-133.44
Sale,05/05/2016,05/06/2016,"KROGER #598",-54.95
Sale,05/05/2016,05/08/2016,"ARAMARK@JPMCDALLSINTPK",-2.83
Sale,05/04/2016,05/06/2016,"ARAMARK@JPMCDALLSINTPK",-6.80
Sale,05/04/2016,05/05/2016,"JCP STARBUCKS",-7.04
Sale,05/03/2016,05/04/2016,"BAWARCHI BIRYANI POINT",-31.37
Sale,05/03/2016,05/04/2016,"FRONTPOINT SECURITY",-42.99
Sale,05/02/2016,05/03/2016,"SUBWAY JCPENNEY",-12.29
Sale,05/02/2016,05/03/2016,"BAWARCHI BIRYANI POINT",-12.44
Sale,05/01/2016,05/01/2016,"KUMAR MESS",-22.08
Sale,05/01/2016,05/02/2016,"WM SUPERCENTER #2883",-57.56
